Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud,Latitud
2022S001740    ,-1,Desconegut,-1,Desconegut,-1,Estatut de Catalunya / Jorge Manrique             ,Desconegut,Dissabte,2022,3,Març,26,20,Tarda,No és causa del  vianant,0,2,0,2,3,429391.4  ,4587227.22,2.15377667071203,41.4316640776020
2022S002391    ,-1,Desconegut,-1,Desconegut,-1,Corts Catalanes / Castillejos                     ,Desconegut,Dilluns,2022,4,Abril,25,0,Nit,No és causa del  vianant,0,1,0,1,2,431937.47 ,4583875.38,2.18462447624276,41.4016951231665
2022S002770    ,-1,Desconegut,-1,Desconegut,-1,Rovira (ascendent)                                ,Desconegut,Dilluns,2022,5,Maig,9,17,Tarda,No és causa del  vianant,0,0,1,1,2,430443.36 ,4585232,2.16659575499255,41.4137857433953
2022S003881    ,-1,Desconegut,-1,Desconegut,-1,Ildefons Cerdà / Corts Catalanes                  ,Desconegut,Dissabte,2022,6,Juny,25,11,Matí,No és causa del  vianant,0,1,0,1,2,427718.43 ,4579750.57,2.13464876064647,41.3641759824788
2022S005418    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,41507,Besalú                                            ,0093 0093,Divendres,2022,9,Setembre,9,19,Tarda,No és causa del  vianant,0,1,0,1,3,431998.27 ,4585433.73,2.18517649789441,41.4157358548276
2022S002119    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana                                         ,0197 0197,Diumenge,2022,4,Abril,10,10,Matí,Desobeir el senyal del semàfor,0,1,0,1,1,432116.66 ,4585380.85,2.18659893755380,41.4152695998867
2022S006656    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana / Las Navas de Tolosa                   ,0203 0205,Dijous,2022,11,Novembre,3,15,Tarda,No és causa del  vianant,0,2,0,2,2,432141.03 ,4585382.64,2.18689031416923,41.4152877819504
2022S005879    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria                                         ,0255X0255X,Divendres,2022,9,Setembre,30,14,Tarda,No és causa del  vianant,0,2,0,2,2,431529.87 ,4585185.94,2.17960031175244,41.4134642825254
2022S002082    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,152600,Indústria / Guinardó                              ,0028 0032,Divendres,2022,4,Abril,8,15,Tarda,No és causa del  vianant,0,1,0,1,2,431745.23 ,4585412.11,2.18215139533437,41.4155196587165
2022S005004    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,90502,Independència / Còrsega                           ,0654 0654,Divendres,2022,8,Agost,19,20,Tarda,No és causa del  vianant,0,2,0,2,2,431466.56 ,4584937.05,2.17887107228739,41.4112172101638
2022S000060    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,191204,Dos de Maig / Mallorca                            ,0518 0518,Dimecres,2022,1,Gener,5,15,Tarda,No és causa del  vianant,0,2,0,2,2,431651.12 ,4584550.2 ,2.18112285478852,41.4077487047724
2022S002096    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,18505,Aragó / Meridiana                                 ,0607 0607,Divendres,2022,4,Abril,8,19,Tarda,No és causa del  vianant,0,1,0,1,2,432131.07 ,4584631.66,2.18685546165919,41.4085230938487
